Nama,Komentar
GAEK YT,Keren.... selamat ya kalian menjadi obat bagi bangsa yang tengah terpuruk di tengah covid 19
MEDIA 767,Aku ingin rasanya jadi juara.
Enggar chanell,Mudah mudahan olimpiade 2024 nanti ada generasi selanjutnya seperti polli
TECHNO LEGOWO,"Mantabbb... Luar biasa..... 
Mencetak sejarah baru..."
Yoga Gautama,"Terima kasih Banyak Ya Tuhan... 😭

Terima kasih atas medali Emas ini, terima kasih atas perjuangan kalian"
yesha film,Komentator nya yg bikin saya mau nangis😔
Ghaziya shakeel chanel,"Siapa kita...indonesiaa..
Bangga akan kalian membawa nama baik indonesia...mantapp indonesia bisaaa.."
Wirda Najiha,Bangga banget saya kan sudah masuk club doain ya semoga aku bisa kayak seperti mereka amiin
Hendi,Gw ikutan nangis knapa ya 😂
warningsih Licik,"terima kasih bnyk Srikandi""Indonesia kalian telah memberikan penghargaan yg sangat besar bagi Indonesia..iini sejarah yg akan slalu diingat.merdeka Indonesia berkibar lah benderaku...di bulan kemerdekaan Indonesia..ini adalah hadiah yg luar biasa.."
TMJHilya Arkan,"Terharu saya melihatnye. 
SAYA BANGGA
KAMI BANGGA
INDONESIA BANGGA"
president asia,amazing
Sheila Fath,"BERKALI KALI NONTON, TETEP NANGIS 😭"
Ari MD Syafari CHANNEL,"Keren selalu ganda putri Indonesia 👍👍👍🔥🔥

Ini alasannya ganda putri juara Olimpiade
👇👇"
Fajar Efendi,Terima kasih perjuangan kalian membuat Indonesia Raya berkumandang di Olimpiade ini....
savera roga,BANGGA.KALIAN MENGHAPUS DUKA NEGERI INI DG KEBAHAGIAAN LUAR BIASA.TERIMAKASIH GRES APRI KALIAN HEBAT.TERIMAKASIH TERIMAKASIH🙏🙏
ALVARO,Terharu dan bangga sekali
Fitri Channel29,selalu merinding setiap lihat vidio ini
Nita sari,Bangga banget❤
Joshua Sinamo,"""Bagi Tuhan tidak ada mustahil"" 🥺😭😭😭"
Farras Ghozy,Akhirnya bukan BTS yg trending... Syukurlah
SHOFINA Meow Channel,😭terharuu😍
Gehe Bange,"RAKYAT INDONESIA DAN BESERTA SELURUH JAJARAN TIKUS KANTOR, KORUPTOR IKUT BANGGA DENGAN KALIAN BERDUA"
Kolesom Koles,Semoga selalu jadi andalan indonesia
Asmaniar R,"Terimakasih untuk semua atlet dari Indonesia atas usaha, semangat dan kerja keras kalian dalam mengharumkan nama Bangsa 💕"
Maykel,"Menang di puja-puja 
Kalah di hina-hina itulah indonesia"
Rachmad Oktri Harid,"alhamdulillah , selamat atas kemenangan indonesia"
AR Ramadhanty,Selamat atas kemenangan Indonesia..
HERINA MUSIC,"Indonesia harus bangkit, jangan mau kalah sama negara lain, indonesia slalu di hati"
Sri Susilowati,"Terimakasih Polli dan Rahayu, berkat kalian sejenak kami bisa melupakan beban di pundak kami💟💟💟💟"
Abdul Aziz,"Sebelum dikalahkan di Olympic, saya pernah 2 kali menyaksikan langsung pasangan China ini dikalahkan oleh pasangan Greysia/Apriani di partai final. 
Dari raut wajah ganda China ini, saya bisa menangkap, bahwa pasangan China ini paling khawatir dan takut kalau berhadapan dengan Greysia/Apriani. Mungkin yang dikhawatirkan adalah karena pasangan GREYAP punya pertahanan yang tangguh. "
Ida Ida,aku yg nnton ikut nagis . bangga dn luar biasaaaaa
panjieramuktikarseno,Sukses selalu 😇
MY TAYO WORLD,Amazinh
Erry Priambodo,"Alhamdulillah.. terimakasih buat kalian berdua.. kalian hebat..
 semoga ini menjadi batu loncatan buat kebangkitan bulutangkis tanah airku"
Bidadari Kreatif,ikutan nangis sumpah
masrietepen,Ganda Putri ini treknya terus menanjak ..dan semoga ada generasi pelapisnya..
Museum Benteng Vredeburg Yogyakarta,Mengharumkan nama bangsa Indonesia di kancah dunia..selamat greysia n apriyani..sukses selalu
Seprialdi channel,Indonesia sangat bangga punya kalian
Indah Hariani,"Terharu banget sama perjuangan mereka 🥺, terimakasih telah mengumandangkan Indonesia Raya di Tokyo 💙💙💙"
BERBAGI INFO CHANNEL,Alhamdulilah bisa berkibar bendera merah putih di tokyo dulu bendera jepang berkibar di tanah air ini
Galuh. 24,Selamat buat Greysia Poli dan Apriana Rahayu
Rian Permana,"TERIMA KASIH UNTUK GREYSIA DAN APRIANY TELAH MENGHARUMKAN NAMA BANGSA.. 
INDONESIA BISA.."
Gustian Veiro,"Gk mau liat gres pensiun 😭
Gk bisa lagi mlihat kak gres main lagi toh"
Mangaratua Simanjuntak,"Ketika Tuhan sudah berkarya, tak ada yg mustahil. Selamat bulutangis Indonesia"
Abid Sobirin,Kerennn masih terngiang
ZaraZira Channel,Mantap.... Polii dan apriyani mengharumkan nama bangsa...
The Fourth Boys,Amazing🇮🇩
Sahir Man,Trimakasih untuk kado ultah kemerdekaan bangsa indonesia
Muhamad Asrori,Dr awal setiap bertanding selalu tersenyum... Membuat aura positif terpancar dlm diri... Sehingga kepercayaan diri meningkat... Semangat n selamat Srikandi Indonesia...
Sanz jago,mantapppp
Keunae Wa,Merindinggggggggggg
PUR DWIANTA,0:06 diulang ulang terus
محمد صادق,"Gak ada yg tidak nangis Greyap..🇲🇨🇲🇨🇲🇨.. Semua warga bangsa NKRI bangga terharu menangis berdebar hatinya...atas Perjuangmuuu😘😘😘.

Berkali-kalipun kami putar video ini.... Hati.pun merasa terHaru...."
X'Orαიge River,"Tapi emang di luar bulu tangkis kita terseok-seok dan panahan serta angkat besi yg bisa kompetitif dan menghasilkan medali. 
Selamat buat APRI & GP atas kemenangan dan emas pertama olimpiade. "
Yeni Suciati,"Mengalahkan kpop dan acara2 tv yg lain,tangis haru bahagia"
yuli Anto,Pbsi harus evaluasi kenapa Thomas Uber &sudirman cup ga juara!
Aviecena Khatulistiwa,Ucok menangis melihat ini
muhammad khoerul imam,Mantap
Devi Kasparo,"Salfok sama bang jebret ratakan Ampe nangis saking terharunya 😀
Salut buat gresap 🔥🔥"
heii zen,Cepet pulih indonesiaku🇮🇩
Adityo Kusnadi,"Gak bosen bosen lihat ini.
Jagoanku Greysia Polii"
Ardi Magetan,Aku terharu melihat mereka menang
KARMAT Channel,".awalnya di remehkan dan tidak di unggulkan
.tp mereka menunjukkan jalan ninjanya
.semoga ke depannya indonesia menjadi penguasa bulutangkis di dunia"
Arka Gilang,"Semua menanggis bangga, ini adalah kado terbaik dan terindah dari kalian untk Indonesia."
Tu Iyee,"Detik-detik Greysia Polii & Apriyani Rahayu Menangis! Mengalahkan Ganda Putri Tiongkok di Olimpiade
INDONESIA BANGGA DENGAN KEDUA PUTRI YG MENJADI SOROTAN DUNIA"
EMBUN RANI,Mantap pertahankan kk
Habibi Al Farabi TV,Coba Aja Ada Olimpiade Musik Ya.Jadi Merasa Terpanggil saya ikutan
Stevent Vernandth,Mantap indosiar
Davin Ghilbran,"Luar biasa terimakasih buat seluruh team Bulu tangkis Indonesia , khususnya Greysia/Apriyani....."
gwen !,AAAA SENENG BANGET😭😭😭
gemini luar,luar biasa indonesia...
Akbar Prosyar,ikut bangga jaya indonesiaku
Tata Uzhumaki,Nonton bekali kali tetep mewek....
Meri Anggraini,"Alhamdulillah, selamat atas kemenangan tim ganda putri Indonesia."
VOKASINEMA,Proud to be Indonesian!
Dragon Channel,"Selamat  dan sukses ... Majulah Indonesiaku ...

Bismillah Channel Saya Di Monetisasi . Terjadi Dengan Cepat Dan Mudah. Wujuuud ... Aamiinn"
Abraham Lingkols,Kok jadi merinding ya?
Muhammad Naufal Ramadhan,"Bersatu Kita teguh ,Bercerai kita Runtuh"
feri antoni,Alhamdullillah...  Tahniah..  Ganbatte Indonesia...  Terimakasih GREIYAP.. Tradisi emas berlanjut...  Luar biasa
family D.O.T,Mudah-mudahan dengan kemenangan Indonesia....covid cepat berlalu
Erawan Nunuh,"Haru dengar, ""Indonesia, Indonesia, Indonesia. """
fathur anggara,"Saya bangga, tapi gak bisa nangis bagaimana ini?"
hanifaa,Love you kak Gress kak aprii
masry channel,Alhamdulillah.terima kasih atas kerja kerasnya kaliand berdua...
Info Daring,"Indonesia raya.
Indonesia merdeka'
🏅🏅🏅🏅🏅"
Ahdiat Galih,"Gini aja gw pengen ikut nangis. ah fak, co apaan aku niii 😣"
Amira Koirunisa,♡
rahmat maulana,Selamat atas kemenangannya..
nurul fajri,"Terharu banget.
Makasih banyak atas perjuangannya."
Eko We,"Kalau wakil rakyat lihat ini terharu gak ya🤭
APAKABAR CORONA yang tak kunjung membaik😭"
Wiro Klintung,Prestasi yang sangat membanggakan
saFFMusic,"Indonesia prok2,prok2 prok👏❤️"
Her Miana,Ikut terharu dan bangga
Unsa MN,nangis bangga 😭 hadiah terindah di HUT RI nanti ❤️
ridho alfarizi putra,Sampe nanggis nontonnya
Yo Hallo,"Salut
Respect💯"
Sahabat ternak,Selamat ikut bahagyanya luar biasa
Info_Tech,terima kasih kalian pahlawan bangsa..  gresya apriani
Fasyah,Alhamdulillah Kado Terindah Untuk Indonesia Menjelang HUT Kemerdekaan Negara Indonesia Terimakasih Greysia Polii & Apriani Rahayu ❤️❤️
Petrus Mediaku,Cess....luar biasa....bravo Indonesia...
MUHAMMAD FAHRUDIN,Indonesia bangga dengan kalian
Beetod,Aplous for you hero!!!
LAYAR TANCAP,Ikut menangis bahagia terharu aslina
Bunda Agil,"Masyaallah terharu, terimakasih kalian telah mengharumkan bangsa Indonesia"
Muhammad Izzan Margie,saya bangga negara kita menang!!!! horeeee
Pusat Syari Indonesia,Indonesia ❤️
Toyan Channel 9,"Joss indonesia, maju terus"
Nur Rachma Ersa,Bangga🇲🇨
Taofan Hidayat,Terima kasih Greysia Polii / Apriani Rahayu dan seluruh atlet yang telah berjuang di Olimpiade Tokyo ....❤️👍
Intan aulya,Terharu banget
Suyat No,Mantap Indonesiaku Apeilia dan Gresia anda mengharumkan nama Ibdonesia
Love creative ideas,Indonesia kebanggaan kita semua
Dede Suryana,Hatur nuhun emasna gelis anda pahlawan kami yg bikin bangga indonesia
Jess No Limit,"Kado terindah buat kemerdekaan indonesia ke 76, terima kasih GREYAP"
Guntur Pratama,PSSI bangga melihat ini
Guntur Pratama,PSSI bangga melihat ini
Ridha Islamika,"Ratakan kau rata kau,,siapa Kita siapa kita Indonesia 😁🥰"
Salsabila,"Selamatt, hebat bnget kaliann"
ADI JAYA,"Alhamdulillah.. Indonesia dapat medali emas.. selamat buat Greysia Polii dan Apriyani Rahayu. Dan selamat buat semua yang sudah mendapatkan medali emas, perak dan perunggu. Dan yang belum dapat tetap semangat."
Zaahir Channel,MaasyaAllah Qadarullah wa maasya'a fa'ala
Arvatthar family,kita bangga punya kalian.
Insan Kuno,Saya meneteskan Air Mata!
Widia Wulansari,gila juara 1 dunia 👍🏽
Bells Culinar,"Selamat Polly dan Ap, sungguh terharu.. ampe nangis..  Luar Biasa kalian. HEBAT👍"
Hassan,Bung jebret dkk emang the best
Ghani Rafisqy,Mantap
AdanG,#indonesiabangga Punya kalian🤗
Faiz Rahiim,Smg penerusnya cepet muncul selamat luar biasa
gio SN,"Sangat terharu sampai meneteskan air mata, bangga dengan kalian berdua bermental baja, kemenangan dan mendaki buat hadiah kita semua dan ulang tahun kemerdekaan Indonesia,bravo PBSI bravo gresia poli dan Aprilia Rahayu"
STORY FREE,Masih TRENDING 1
Muchlisinalahuddin,Kebanggaan indonesia
RUNTUT SETIA,Mantab dan mantab 👍👍👍
Hendrawan,Merinding
mira marsela,"Terharu banget pas nonton tadi ikut nangis jg Ya Allah bangga  banget,, Alhamdulillah terimakasih buat kakak2 hebat Indonesia kak Greysia Polii & kak Apriani Rahayu sudah mengharumkan nama Indonesia, semoga kalian sukses selalu"
DANA’S CLOUD,🔥
Jumaedy edy,Merinding
ArinDya Video,Selamat dan sukses selalu
KANDANG MAS LIKIN 牛舎,Selamat untung yang menang 👍🎉🎉
yeni,"Prestasi kayak gini pantas dan layak untuk di trendingkan. 😀😀😀
Terima kasih atas kerja kerasnya Greysia dan Apriyani."
siti oxe,Selamat good job indonesia masih hebat..
Yura Mariyady,Indonesia patut bangga
xVasileVs ind,Nangis nangis... Asli.... Amin buat doa yg dinaikan sama komentator..
riski wow,Mantap
MIMAH NURHALIMAH,Dibulan kemerdekaan Indonesia engkau telah memberikan hadiah terbaik. Terimakasih putri bangsa
Firmansyah Aditya,KADO TERINDAH DIKALA PANDEMI UNTUK DIRGAHAYU INDONESIA..
Antosuji channel,"Semangat,,,indonesia ku"
Adrian Zoya Official,Indonesia bangga..  Jaya Indonesia merdeka 💪💪💪💪semangat 1945
Cakil Mowo,Mantap
N_Axe77,"😭😭😭🔥🔥🔥🇮🇩🇮🇩🇮🇩
Terharu anjir.....congrats GP&AP 👍
BHINNEKA TUNGGAL IKA walaupun kita berbeda suku,agama, ras, budaya.....
😭kita tetap satu jua INDONESIA 😭"
Ismatul Hasanah,❤️❤️❤️🇲🇨
Keluarga Kita TV,"GARUDA..DI DADAKU
GARUDA..KEBANGGAANKU
KU YAKIN HARI INI PASTI MENANG.."
Ain Ninda,Nangis😭
rumaisha,Saya juga pengen buat Indonesia bangga sama saya
Dunia Terbalik,"Akhirnya ganda putri meraih medali emas olimpiade!!

Merekalah ganda putri pertama Indonesia yang berhasil melakukannya!!"
khairunnisa nurmah yuningtyas,Indonesia bangga sekali
jati lanang,Pemain nomor satu dunia ke arah dengan permainan merendam dunia
5 POPULER INDO,Mantappp Indonesia 👍
maria Lero kaka,Tuhan Baik
Reni Setya Family,Rakyat Indonesia menangis terharu 😭😘 Terimakasih ❤️ hadiah HUT kemerdekaan hadiah penyejuk ditengah pandemi 🇮🇩
Shofie Izzatuniza,Aku bangga sekali dengan Indonesia
Indra Mix Film Bioskop,Nyesel nonton krna sangat menguras emosi😭😭😭😭😭😭
boot ngedok 01,"Terharu Cok Cok
😭😭😭"
RC PEMULA 18,Wow mantap
nana masih sma,"Terima kasih untuk kerja keras kalian untuk Indonesia, kami bangga punya kalian. Indonesia bangga punya kalian!!!"
Romeo Film,Sejarah baru indonesia bisa !!
the coment,Menangis terharu
ifah and family,Banyak mata manusia menangis menyaksikan ini
K rohimin,Wah luar biasa sehat selalu
SHAM BANI,"Kalian berdua memang pahlawan yang mengharumkan nama Indonesia di dunia.❤️❤️

Tuhan menyertai kalian semua."
NGS Project,"https://youtu.be/08vmLvvpKfI
Keindahan alam di sore hari"
MASRILYO,❤️❤️❤️❤️
Asep Spr CN,Merinding dengerin komentator
bekas iblis,Di asia yg bisa ngalahin tiongkok cuma INDONESIA!!!
Haldhito NK#94,"Nangis gua liyatnya, merinding .. hadiah HUT RI ke 76"
Santuy,Yg bicara itu terharu bangga✋
Medina Efendi,Pokoknya satu kata TOP
you tube,Luar biasaaa pokoknya
Hunting Sulbar 02,Mantap sulawesi.. indonesia
Aris Priyono,Gresii/Apri..... SELAMAT ANDA JUARA.....menetes air mata seluruh klgku menyaksikan perjuangan kalian tiada kata tak mungkin untuk sebuah perjuangan
Oktavianus Mangiring,"Luar biasa,.."
Danang Heri,"Aku kepingin nya kalau sepak bola yg menang tapi bagai mana mungkin, membaca aja saya msih mengejaa."
Bapak Kau Polwan?😂🤣,"Sudah kuduga kalo indo mah memang jagonya bulu tangkis, era emas² Indonesia kalo bulu tangkis mah"
Jeng Laras,BANGGA NGGAK ??? BANGGA DONG MASA ENGGAK 🌞🌞🌞🌞🌞🌞🌞🌞🌞🌞🌞 Terimakasih sudah mengharumkan nama Indonesia 🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨
Tami Koestomo,"Wonderful accomplishment, Greysia and Apriyani! Our whole  country is immensely proud of you! 🙏💖🙏👏🙏💝🙏❤"
Om Erte,Happy birthday NKRI
Rahmat Hidayat,akhirnya kek gini Trending
E_132 Desvrenty br sembiring,Terharu sekaliiiiii
Ibnu Khabir,Mantap
Hartati,"Selamat kesayangan"" bangsa Indonesia.. semoga bisa menginspirasi yg lainnya... Ya Allah terharu... Proud proud proud..."
Ferdinan Gewe,Ttp smngat untuk kalian berdia....
Gusti Q,Lagu Indonesia Raya dinyanyikan di Negara yg pernah menjajah kita.
Siti nursyamsiah,Terima kasih Ya Alloh
falby Taftazany,Berkibarlah indonesia tapi hutangnya juga berkibar😂
Devano Alif J.,"Terimakasih Atas Kerja Keras Kalian, Terimakasih Atas Perjuangan Yang Tak Kenal Lelah Dan Selamat Atas Kemenangan Yang Sangat Mengharukan Bagi Masyarakat Indonesia. Sekali lagi Selamat dan Terimakasih. ❤🇮🇩🔥"
Rita Siregar Lali,Indonesia 💪
VLEI :D,Tuhan maha mengetahui tuhan maha adil
Kamilatu Dzuriyya,Nangisss terharuuu bangettt
Eriza andra Seungeda,"Fun fact : semua negara yg naik podium di ganda putri,pernah di jajah tuan rumah, alias pernah dijajah Jepang 😂😂😂😂"
Lita Dian Repelita,"Ayo trendingkan, ini bnr2 prestasi, sy nonton dg emosional, bangga pd mereka yg tlh menyelamatkan indonesia drketerpurukan"
Krisman Jaya,Alham dulilah indonesia menang lagi mana suaranya indonesia
Fariada Nurhayati,Alhamdulilah indonesia menang
Budi Setiawan,Indonesia susah payah berjuang nangis tenanga buat dapetin dua medali emas tp liat di Indonesia sendiri pemerintah nya tertawa gunung emas yg di sia sia in 😔
akasya,"buat yg dari 2031 dan lagi ngerjain tugas pjok, dapet salam dari 2021"
Cassiopeia W,"Luar biasa, terimakasih telah mengharumkan nama Indonesia.👏
Kok aku jadi ikutan pengen nangis ya 😭"
TrendQuran Family,"Semoga konten positif selalu dishare di channel ini. Semoga komentar ini dipin
Yg suka video ini like.
Yg cinta Alquran beri dukungannya ya!"
wong tegal chanel,Ikut sedih
Rahma Kurnia,Alhamdulillah..saking senengnyaa..
siswood channel,mantap
Zakiyah Syarifah,"Ayo trendingkan ....
Hal seperti inilah yang harusnya trending karena membawa harum nama bangsa Indonesia ."
Dika pratama Agus,Keren
berita olahraga,Sangat membanggakan
DESY-SOSIOLOGI,Proud love youu buat kaliannn
abc def,Btwwww indosiar punya video yang di studio gasih? Up dongg gimana serunya di studio
Nur Aeniyah,Makasih Greysia polly dan Apriyani..merinding menangis terharu
Achin Preng,Terlinang air mata
Tips Solo Rank,Semangat gotong royong
Azhari Wahyudi,Menangis terharu
Fridal Islami,Duh masih tetap terharu saya
Septi Ana,Dri awal kmpetisi udah yakin greyap yg bakal dpt emas.. Alhmdulillah beneran dapet dong.. Terharuuu
M 10,"Bkn terharu Krn menang aja ,tpi terharu krn komentatornya berisik bner😕😭"
Nadia Safitri,Lekas membaik Indonesiaku🇮🇩🇮🇩https://youtu.be/L6GrGXrcp3o
Mehdi Zein,Hebat !!!
Saputra Gama15,Puji syukur
Quinn Sha,"Selamat untuk Indonesia ku... 
Selamat untuk Greysia dan Apriyani...
#Bangga jadi Indonesia#"
Benyamin ls,Kita bangga walau bulu tangkisji i yg dari dulu bisa juara
Frank Frank,Ini bari tontonan bkn nonton korea😂😂😂😂🙏
Putri Diya,Alhamdulillah aku banga banget😘
Fans Goodmintown,"Actually, Tim Vidio atau Tim TVRI karena pada sayang kuping 😅"
Seftriani Simbolon,Terima kasih yang tak terhingga atas perjuangan kalian yang luar biasa. Indonesia bangga
fay _fayy,Mantaps
Muhamad Dika,Prestasi sperti Inilah yg paling pantas diurutan teratas trending. Bukan lesty dan kang bilor mulu bosen liatnha
Zenara Gratma,Yeah bangga idola juara
KayneDhani Official,hebat Indonesiaaaa
28. Reygeta putri,Sumpah berulang kali nonton tetep aja nangis. I'm proud of you guys 🇮🇩🇮🇩🔥🔥
Badut Gaming,Kami bangga pada mu
Eric Sandiego,Selamat ❤🇮🇩
Bangku Belakang,Respect👏 semoga Penghuni Bangku Belakang ini bisa terinspirasi untuk meraih prestasi
Afni Kaulan Sadida XII.Ak1,Merinding
Diah Napitupulu,"Terima kasih kpd kalian, Apriyani+graysia . We proud of you"
Abbynera Cozza,GREY APRI THANKS A LOT 😭😭😭😭😭😭😭😭😭😭😭
ArnellXd,"Mantap, mereka dapat diamond gratis seumur hidup dari free fire 😁"
Wili Harvand ™,"wkwkwk Indosiar bisa trending 1 
Wkwkwkwkwkwkwkwkwk"
Alfan jelek Alice Wonderland,🇲🇨❤
A Z,"Gua ga suka mereka dengan bawa uang tapi gua suka mereka bawa medali

La iyalah kan atlet
Selamat mbakk,dua duanya memang hebat dapet emas patut jadi contoh dan apresiasi federasi badminton indonesia"
ubay dillah,Aku Juara apa udah  umur 27 udah makin tua😓😭cuma bisa jadi beban ortu dan negara😭
Dokter IT Bird Farm Official,suwun mbak kalian orang luar biasa pemersatu bangsa
Heri Blarblar,"https://youtu.be/08vmLvvpKfI 
KEINDAHAN ALAM"
Serba HobiKU,"JUJUR SAYA SEBAGAI WNI SANGAT BANGGA DENGAN KALIAN dalam situasi negara kita yang sedang tertimpa musibah, greysia poli dan Apriyani Rahayu bisa mengharumkan nama negara kita INDONESIA"
KERA SAKTI,Tanpa terasa air mata menetes mengiringi Kemenangan Mereka 😭😭😭... Terimakasih Pahlawanku Gresya & Apriyani😢😢😢🙏🙏🙏
Pancona -,"tak mampu diungkapkan, seperti ingin teriak dan berlari-lari seputar komplek biar semua masyarakat Indonesia tau bagaiman rasanya dan harunya ketika kemenangan itu datang. bangga!!! bangga!!! bangga saya jadi orang Indonesia."
Aditiya Rachman,keren indonesia maennya
YAIJP VELLNUR,Greysia polii & apriyani rahayu indonesia ikut terharu bangga indonesia merdeka...maju trus indonesia...
Kasbin channel,Indonesia berkibarlah di dunia..
Gunawan Manullang,"Gila tangisan nya 😭.

Smngat kak 💪
Terus lah berkarya buat negara kita Indonesia ❤️🇮🇩🇮🇩🇮🇩"
Agus Prastyo,Mantap kalian hebat
Mutia Astar,DARI SULAWESI UNTUK INDONESIA
Ferry Mario,Masih teringat dengan suara bg valen
andry hidup bahagia,ganda putri yang the best di negara indonesia sip deh
xezador,mantap. terus berjaya atlet indonesia.
Syukur Hidayat,Indonesia Bangga 👍👍
Putoe Soemi,Luar biasa👍👍👍👍indonesia
COBRA CHANNEL,"Yuk mampir 😁
Siapa tahu kalian terhibur dengan gameplay saya"
Hasbi Dirgahayu,Palinh ngeri mantap
Andy Br0,"""Dua medali emas didapat dengan keringat dan air mata.
Gunung-gunung emas dilepas dengan tertawa""
-Abdur Arsyad"
HAZMIRA OFFICIAL,Demi apa aku nangiss
Jahadi Paleka,Siapa yang merinding liat ini kita satu server
amatiran chanel,terimah kasih telah tekuk negara pembuat corona merdeka🇮🇩
Aditya Pratama,Minta full match nya yang komentator nya bang valen dong
Hendra Robertho Siregar,Semangat dan Terima Kasih..!! Kalian menaikkan peringkat Indonesia dari 50an jadi 30an.. 🙏🙏🙏🙏
Arif Artika Channel,maju terussss garuda indonesia.....
Dharmawan Suhandri Lie,TETAP SEMANGAT ....MERDEKA
BERBAGI INFO CHANNEL,Gresya dapat rumah mobil dari kemenangan kita dapat koin dari belanja online aja buat di tukar sama pulsa uda senang.
Yuni Veranda,"Kita meninggu dulu kita menunggu dulu

Aaaaaaaaaaaaaaaaaaaaa"
WHYM,"PENGOBAT RASA FRUSTASI BANGSA KARNA PANDEMI😌
TERIMAKASIH TUHAN, TERIMAKASIH PAHLAWAN OLAHRAGA INDONESIA🙏"
Andi KISWANTO,Up. Masih trandig 1 indonesia
Nusaibah Binti Ka'ab,Masih belum bisa move on😢😢😢
sutris sedot wc,Gimana sih rasanya bisa ngebanggain orang tua ..
Red White,Tonton lah mata najwa tentang korupsi dan trendingkan
Bali Indah,Akhirnya doa seluruh rakyat indonesia terkabul dan lagu indonesia dikumandankan love u so much Grezya dan Apriyani💋💋💋🇲🇨🇲🇨🇲🇨🇲🇨😙😙😙😙
riskay,hebattt
DanoE Periped,🔥🔥🔥🔥
xiu xiu,Aku menangis karna bangga
Fahrul hasibuan,Aku sangat bangga
Shafira,"TERIMAKASIH BANYAK, BANGGA BANGET PUNYA KALIAN 😭❤️🇮🇩"
riki gaspari,Merdekaaaaaaa....mengharumkan indonesia....
Kim Jong Un,Komentatornya Lagi Kesurupan Guys
fransiskus xaverius,Bangga dan bangga
Geboy Canghai,Indonesia bisa indonesia maju go go go..!!
Silfester Pay,Bangga sekali sampai meneteskan air mata😭rasa nya mau menangis sambil teriak tapi malu ama tetangga😍kalian terbaik🙏
Biaz MC,Trending 1 anjrit 🔥
Lalu Hamirin,Merah putih indonesia berkibar
Update.,👨‍👩‍👧JUMBLAH ORANG YANG INGIN BAHAGIAKAN ORANG TUANYA SEMOGA SEHAT SELALU YA 🤲🤲🤲
Arrahma Harmi,Demi ikutan nangis.
Tati davino,"Masyaalloh terharu
 sampai nangis,congrats greysia & apriyani terima kasih telah menyumbangkan emas untuk indonesia"
Atipa Asbi,saDikali😭😭🇵🇱❤❤
NoEditEditClub,Bulutangkis INDONESIA Memang BEDA
Yana Riskayanti,Alhamdulillah...
Dodo Dodo,GW BARU NANGIS SKRG 😭😭😭😭😭😭😭😭😭😭
✨Tartaglia Childe Snezhnaya✨,Akhirnya lengkap sudaah !! Semua cabang di batminton kita pernah jadi juaraa dan dpt medali emas di olimpiade ❤️ bangga jadi Indonesia ❤️
Riki Rikardo🇮🇩,Hore kita dapat 🏅
Andriyan Enjoy,Terimakasih Untuk Indonesia
Tarissa NAZ,jadi nangissss
ARI SHABRUN,Keren 👍👍👍👍👍
Urai Fadli,Dengar komentator jadi ikut terharu sampai tak terasa air mata mengalir...bahagia
teki sulaksono,Terbaek.... 🇮🇩🇮🇩🇮🇩🥇🏸
Rusdi Yanto,Sy pun salut dg China mrk brbesar hati menerima kekalahan
Wawan Prakoso,Terharuuuu
Syakira and Fadly,Nonton bulu tangkis gresia dan apriani bikin tegang dan terharu... Apa lagi lawan china
Ratu Eka Bkj,"MashaAlloh, Alkhamdulillahirrobbil'alamin, BarokAlloh congratulation kak Apriyani dan kak Greysia  sudah membanggakan Indonesia mencetak goal semoga menjadi prestasi yang berkah.
Amin ya rabbal'alamin Ya Alloh SWT"
zhafiro aveiro,ruarr biasa maju terusss
Laudya Naura Efendi,Semangat indonesia
MANTAN SARJANA TV,"SELAMAT ......
RATAKANN DENGAN AKAR2 NYA WKWKWW"
Sekitar ID,Indonesia bangga banget
Bukan Pietro KW,"Indonesia BANGGA punya kalian!! 😭❤️‍🔥 
Nangis banget nonntonnn ini, you guys already create a history for Indonesia to be proud of in the future, you guys made it, and a duo woman for taking a Gold Medal for the first time for decade in olympic from Indonesia history. 🇮🇩❤️‍🩹"
Fredy Hasangapan,Mantappp masih Trending # 1
A.M CHANNEL,Luar biasa
OLEH TUTORIAL,Luar biasa
Muhamad Hikayat,👍👍👍❤❤❤😍😍😢😢😢
TonYuk YTTV,"Njirr merinding gw, NKRI JAYA SELALU !!!! 🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩"
ARTHA Petualang new,Mampirrr bossss saya pernah jadi juara mancing
Umy Ramadhani,Yang unlike ada masalah apa sih?
Gaming Chan,Juara Indonesia lagi yah
Didialldiansyah Diansyah,Terharu banget
Andy nao,"Yg gx di unggulkan justru juara, yg diunggulkan justru kecewa...😢😢😢

Inilah hidup n inilah olahraga, menang kalah adalah bagian darinya.."
YouPedia Channel,"Indonesia luar biasa

https://youtu.be/4X9FXIAdE5w"
Pipi Rud,Bangkit lah indonesia ku
Stambul 06,"Merinding melihat nya saudara. 
Trimakasih telah berjuang sekuat tenaga 😭😭😭😭"
Nyoba Mancing present,"Indonesia bisa
Indonesia juara"
Nessy Kristin,"Masyallah, aku langsung menangis melihat ini, atas nama indonesia kami semua mengucapkan trimakasih greysia & Apriyani atas usaha kalian membawa nama indonesia.😭😭😭😭"
Teguh w,Wow keren .kerja bagus para gadis.
Alexander Atan,"KOMENTATORNYA BERLEBIHAN.  gimana kl pihak lawan juga kristen. wwkwkw
Tuhan pilih kasih donk.

selamat buat indo yang memenagkan piala emas."
